year,gear,flag_iso2,fleet,species,catch,units,flag_name,flag_iso3,is_SID
1991,L,AU,JV,ham,0,mt,Australia,AUS,FALSE
1991,L,AU,AU,mak,0,mt,Australia,AUS,FALSE
1991,L,AU,JV,mak,0,mt,Australia,AUS,FALSE
1991,L,AU,AU,ocs,0,mt,Australia,AUS,FALSE
1991,L,AU,JV,ocs,0,mt,Australia,AUS,FALSE
1991,L,AU,AU,por,0,mt,Australia,AUS,FALSE
1991,L,AU,JV,por,0,mt,Australia,AUS,FALSE
1991,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
1991,L,AU,JV,fal,0,mt,Australia,AUS,FALSE
1991,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
1991,L,AU,JV,thr,0,mt,Australia,AUS,FALSE
1992,L,AU,AU,alb,214,mt,Australia,AUS,FALSE
1992,L,AU,JV,alb,106,mt,Australia,AUS,FALSE
1992,L,AU,AU,bet,34,mt,Australia,AUS,FALSE
1992,L,AU,JV,bet,0,mt,Australia,AUS,FALSE
1992,L,AU,AU,pbf,0,mt,Australia,AUS,FALSE
1992,L,AU,JV,pbf,0,mt,Australia,AUS,FALSE
1992,L,AU,AU,skj,62,mt,Australia,AUS,FALSE
1992,L,AU,JV,skj,0,mt,Australia,AUS,FALSE
1992,L,AU,AU,yft,1017,mt,Australia,AUS,FALSE
1992,L,AU,JV,yft,0,mt,Australia,AUS,FALSE
1992,L,AU,AU,blm,8,mt,Australia,AUS,FALSE
1992,L,AU,JV,blm,0,mt,Australia,AUS,FALSE
1992,L,AU,AU,bum,2,mt,Australia,AUS,FALSE
1992,L,AU,JV,bum,0,mt,Australia,AUS,FALSE
1992,L,AU,AU,mls,22,mt,Australia,AUS,FALSE
1992,L,AU,JV,mls,0,mt,Australia,AUS,FALSE
1992,L,AU,AU,swo,49,mt,Australia,AUS,FALSE
1992,L,AU,JV,swo,0,mt,Australia,AUS,FALSE
1992,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
1992,L,AU,JV,ham,0,mt,Australia,AUS,FALSE
1992,L,AU,AU,mak,0,mt,Australia,AUS,FALSE
1992,L,AU,JV,mak,0,mt,Australia,AUS,FALSE
1992,L,AU,AU,ocs,0,mt,Australia,AUS,FALSE
1992,L,AU,JV,ocs,0,mt,Australia,AUS,FALSE
1992,L,AU,AU,por,0,mt,Australia,AUS,FALSE
1992,L,AU,JV,por,0,mt,Australia,AUS,FALSE
1992,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
